question_num,question,verb,animal,norm_category
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
50,He will bop the bear with the,bop,bear,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
33,He will bop the butterfly with the,bop,butterfly,INST
